2021.0,0.0,24.0,3.0,24.0,0.0,0.0,1.0,0.0,0.0
2021.0,3.0,2.0,12.0,92.0,1.0,1.0,0.0,0.0,0.0
2021.0,1.0,14.0,6.0,45.0,0.0,0.0,1.0,0.0,0.0
2020.0,11.0,0.0,48.0,335.0,3.0,1.0,0.0,0.0,0.0
2021.0,2.0,30.0,12.0,89.0,0.0,0.0,0.0,1.0,0.0
2020.0,11.0,19.0,50.0,354.0,3.0,1.0,0.0,0.0,0.0
2021.0,1.0,11.0,5.0,42.0,0.0,1.0,0.0,0.0,0.0
2020.0,11.0,1.0,48.0,336.0,3.0,1.0,0.0,0.0,0.0
2021.0,3.0,20.0,15.0,110.0,1.0,0.0,0.0,1.0,0.0
2020.0,11.0,26.0,51.0,361.0,3.0,0.0,1.0,0.0,0.0
2021.0,1.0,17.0,6.0,48.0,0.0,0.0,0.0,0.0,1.0
2021.0,1.0,21.0,7.0,52.0,0.0,0.0,0.0,0.0,1.0
2021.0,1.0,19.0,6.0,50.0,0.0,0.0,0.0,1.0,0.0
2021.0,2.0,17.0,10.0,76.0,0.0,0.0,0.0,1.0,0.0
2021.0,1.0,12.0,5.0,43.0,0.0,0.0,0.0,0.0,1.0
2021.0,2.0,3.0,8.0,62.0,0.0,0.0,1.0,0.0,0.0
2020.0,11.0,30.0,52.0,365.0,3.0,1.0,0.0,0.0,0.0
2021.0,3.0,10.0,13.0,100.0,1.0,1.0,0.0,0.0,0.0
2021.0,0.0,19.0,2.0,19.0,0.0,0.0,1.0,0.0,0.0
2021.0,2.0,13.0,9.0,72.0,0.0,0.0,0.0,0.0,1.0
